Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
2019-01-28,238.93843142726803,239.3375589397208,237.48696050055744,239.27407836914065,85613700,28,0,5,1,2019
2019-01-29,239.4192369552321,239.9907282183116,238.11291584203784,238.95657348632807,66136300,29,1,5,1,2019
2019-01-30,240.4896569546998,243.59214845948404,239.71856049473195,242.73941040039065,92473700,30,2,5,1,2019
2019-01-31,242.6759509515032,245.36115417735164,242.45821231705227,244.87127685546875,104012100,31,3,5,1,2019
2019-02-01,245.07085364209175,246.02339441395705,244.1909016429713,244.9892120361328,85782500,1,4,5,2,2019
2019-02-04,245.03455198854627,246.77632258419655,244.35417760789457,246.7128143310547,60744800,4,0,6,2,2019
2019-02-05,247.1483678012592,248.0555340234971,246.64035693156725,247.74710083007807,79552800,5,1,6,2,2019
2019-02-06,247.4657697987982,247.9646999219832,246.67653997126752,247.4203948974609,58347800,6,2,6,2,2019
2019-02-07,245.7875656200135,246.34092360803092,243.38358118487776,245.0618438720703,95482000,7,3,6,2,2019
2019-02-08,243.80078834913863,245.46088944304265,242.9661837017956,245.36111450195312,75788900,8,4,6,2,2019
2019-02-11,246.02339460743596,246.28645277645333,244.961998360124,245.49722290039065,68021400,11,0,7,2,2019
2019-02-12,247.13012759574264,249.03515369118531,247.0575388260186,248.65415954589844,72270200,12,1,7,2,2019
2019-02-13,249.49788802310547,250.3143319652324,249.0715188544541,249.4615936279297,65277200,13,2,7,2,2019
2019-02-14,248.3638371047468,250.0511797900972,247.5383129528417,248.90814208984372,83234400,14,3,7,2,2019
2019-02-15,250.7043286289066,251.6568693350397,250.49569821179907,251.62057495117188,97088700,15,4,7,2,2019
2019-02-19,250.81324788852984,252.71827420604416,250.80416737012976,252.0560607910156,59120800,19,1,8,2,2019
2019-02-20,252.0197513306705,253.02671985510204,251.511740651779,252.5640563964844,76610800,20,2,8,2,2019
2019-02-21,251.91995991269368,252.28282070469297,250.69528051575503,251.66595458984372,64214700,21,3,8,2,2019
2019-02-22,252.2918956446665,253.42585302184293,251.64781560609208,253.22630310058597,78114600,22,4,8,2,2019
2019-02-25,254.66865915357047,255.19480312430952,253.48932702994443,253.5709686279297,69030700,25,0,9,2,2019
2019-02-26,253.21722366551523,254.27859227176825,253.0085655408001,253.38958740234372,56844100,26,1,9,2,2019
2019-02-27,252.66385256850785,253.63452678751463,251.7204199053593,253.2807464599609,56921600,27,2,9,2,2019
2019-02-28,253.06293473078537,253.5074647471559,252.4823630814545,252.80892944335935,69268300,28,3,9,2,2019
2019-03-01,254.40552348232856,254.80467856172152,252.93591963751683,254.38739013671875,78880500,1,4,9,3,2019
2019-03-04,255.45793434574708,255.7028591832249,251.13981561053245,253.462158203125,106494600,4,0,10,3,2019
2019-03-05,253.58908392606168,253.78866146886537,252.5639823509562,253.11734008789065,59114600,5,1,10,3,2019
2019-03-06,253.2353840962104,253.2444646152797,251.2577688547675,251.58433532714844,75039800,6,2,10,3,2019
